Number,Description,References,Phase,Votes,Comments
1,Bash treats any character with a value of 255 as a command separator.,XF:bash-cmd   |   CERT:CA-96.22.bash_vuls,,,
2,The prompt parsing in bash allows a local user to execute commands as another user by creating a directory with the name of the command to execute.,BUGTRAQ:19990420 Bash Bug   |   URL:http://www.securityfocus.com/templates/archive.pike?list=1&msg=Pine.LNX.4.10.9904202114070.6623-100000@smooth.Operator.org   |   CALDERA:CSSA-1999-008.0   |   URL:ftp://ftp.calderasystems.com/pub/OpenLinux/security/CSSA-1999-008.0.txt   |   BID:119   |   URL:http://www.securityfocus.com/bid/119,,,
3,"Buffer overflow in bash 2.0.0, 1.4.17, and other versions allows local attackers to gain privileges by creating an extremely large directory name, which is inserted into the password prompt via the \w option in the PS1 environmental variable when another user changes into that directory.","BUGTRAQ:19980905 BASH buffer overflow, LiNUX x86 exploit   |   URL:http://www.securityfocus.com/archive/1/10542   |   BUGTRAQ:19970821 Buffer overflow in /bin/bash   |   URL:http://marc.info/?l=bugtraq&m=87602746719555&w=2   |   DEBIAN:19980909 problem with very long pathnames   |   URL:http://www.debian.org/security/1998/19980909   |   XF:linux-bash-bo(3414)   |   URL:http://xforce.iss.net/static/3414.php   |   OSVDB:8345   |   URL:http://www.osvdb.org/8345",,,
4,"(1) bash before 1.14.7, and (2) tcsh 6.05 allow local users to gain privileges via directory names that contain shell metacharacters (` back-tick), which can cause the commands enclosed in the directory name to be executed when the shell expands filenames using the \w option in the PS1 variable.",BUGTRAQ:19960913 tee see shell problems   |   URL:http://marc.info/?l=bugtraq&m=87602167419868&w=2   |   BUGTRAQ:19960919 Vulnerability in expansion of PS1 in bash & tcsh   |   URL:http://www.dataguard.no/bugtraq/1996_3/0503.html,Proposed (20010912),"   NOOP(2) Cole, Foat",
5,"Multiple shell programs on various Unix systems, including (1) tcsh, (2) csh, (3) sh, and (4) bash, follow symlinks when processing << redirects (aka here-documents or in-here documents), which allows local users to overwrite files of other users via a symlink attack.",BUGTRAQ:20001028 tcsh: unsafe tempfile in << redirects   |   URL:http://archives.neohapsis.com/archives/bugtraq/2000-10/0418.html   |   BUGTRAQ:20001130 [ADV/EXP]: RH6.x root from bash /tmp vuln + MORE   |   URL:http://marc.info/?l=bugtraq&m=97561816504170&w=2   |   BUGTRAQ:20001128  /bin/sh creates insecure tmp files   |   URL:http://www.securityfocus.com/archive/1/146657   |   CALDERA:CSSA-2000-043.0   |   URL:http://www.calderasystems.com/support/security/advisories/CSSA-2000-043.0.txt   |   CALDERA:CSSA-2000-042.0   |   URL:http://www.calderasystems.com/support/security/advisories/CSSA-2000-042.0.txt   |   COMPAQ:SSRT1-41U   |   URL:http://archives.neohapsis.com/archives/tru64/2002-q1/0009.html   |   CONECTIVA:CLSA-2000:354   |   URL:http://distro.conectiva.com.br/atualizacoes/?id=a&anuncio=000354   |   DEBIAN:20001111a   |   URL:http://www.debian.org/security/2000/20001111a   |   FREEBSD:FreeBSD-SA-00:76   |   URL:ftp://ftp.FreeBSD.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00:76.tcsh-csh.asc   |   MANDRAKE:MDKSA-2000-069   |   URL:http://www.linux-mandrake.com/en/security/MDKSA-2000-069.php3   |   MANDRAKE:MDKSA-2000:075   |   URL:http://www.linux-mandrake.com/en/security/MDKSA-2000-075.php3   |   REDHAT:RHSA-2000:117   |   URL:http://www.redhat.com/support/errata/RHSA-2000-117.html   |   REDHAT:RHSA-2000:121   |   URL:http://www.redhat.com/support/errata/RHSA-2000-121.html   |   SGI:20011103-02-P   |   URL:ftp://patches.sgi.com/support/free/security/advisories/20011103-02-P   |   CERT-VN:VU#10277   |   URL:http://www.kb.cert.org/vuls/id/10277   |   BID:1926   |   URL:http://www.securityfocus.com/bid/1926   |   BID:2006   |   URL:http://www.securityfocus.com/bid/2006   |   CONECTIVA:CLA-2000:350   |   URL:http://distro.conectiva.com.br/atualizacoes/?id=a&anuncio=000350   |   OVAL:oval:org.mitre.oval:def:4047   |   URL:http://oval.mitre.org/repository/data/getDef?id=oval:org.mitre.oval:def:4047,Modified (20061101),"   ACCEPT(2) Baker, Cole  |     MODIFY(1) Frech  |     NOOP(1) Wall  |     REVIEWING(1) Christey"," Frech> XF:linux-bash-tmp-symlink(5593)  |   Christey> Don't all these shell programs originate from the same  |     codebase, including ksh?  If so, we should have a single CAN  |     for all of these, and add:  |     XF:ksh-redirection-symlink  |     URL:http://xforce.iss.net/static/5811.php  |     CONECTIVA:CLA-2000:354  |     BUGTRAQ:20001208 Immunix OS Security update for tcsh  |     http://archives.neohapsis.com/archives/linux/immunix/2000-q4/0041.html  |     BUGTRAQ:20001220 /bin/ksh creates insecure tmp files  |     http://archives.neohapsis.com/archives/bugtraq/2000-12/0368.html  |     BUGTRAQ:20001227 IBM Findings: Korn Shell Redirection Race Condition Vulnerability  |     http://archives.neohapsis.com/archives/bugtraq/2000-12/0473.html  |       |     Also see: http://archives.neohapsis.com/archives/bugtraq/2000-12/0420.html  |     which gives some shell history which may be of use.  |   Christey> ADDREF FREEBSD:FreeBSD-SA-01:03 for the bash problem.  |   Christey> Consider adding BID:2148 if this CAN should include ksh  |   Christey> SGI:20011103-01-I  |     URL:ftp://patches.sgi.com/support/free/security/advisories/20011103-01-I  |     Also, DELREF BID:2148 and BID:1926.  Keep BID:2006  |   Christey> COMPAQ:SSRT1-41U  |     URL:http://ftp.support.compaq.com/patches/.new/html/SSRT0742U-59U.shtml  |     CERT-VN:VU#10277  |     URL:http://www.kb.cert.org/vuls/id/10277  |   Christey> SGI:20011103-02-P  |     URL:ftp://patches.sgi.com/support/free/security/advisories/20011103-02-P  |     Note that this is an update of the other SGI reference.  |   Christey> CALDERA:CSSA-2001-SCO.24  |     URL:ftp://stage.caldera.com/pub/security/openserver/CSSA-2001-SCO.24.1/CSSA-2001-SCO.24.1.txt  |     CERT-VN:VU#10277  |     URL:http://www.kb.cert.org/vuls/id/10277  |   Christey> Missing BID - BID:1926  |   Christey> HP:SSRT3618  |     URL:http://archives.neohapsis.com/archives/hp/2003-q3/0042.html"
6,"sudo before 1.6.8p2 allows local users to execute arbitrary commands by using ""()"" style environment variables to create functions that have the same name as any program within the bash script that is called without using the program's full pathname.",CONFIRM:http://www.sudo.ws/sudo/alerts/bash_functions.html   |   BUGTRAQ:20041112 Sudo version 1.6.8p2 now available (fwd)   |   URL:http://marc.info/?l=bugtraq&m=110028877431192&w=2   |   APPLE:APPLE-SA-2005-05-03   |   URL:http://lists.apple.com/archives/security-announce/2005/May/msg00001.html   |   DEBIAN:DSA-596   |   URL:http://www.debian.org/security/2004/dsa-596   |   MANDRAKE:MDKSA-2004:133   |   URL:http://www.mandriva.com/security/advisories?name=MDKSA-2004:133   |   TRUSTIX:2004-0061   |   URL:http://www.trustix.org/errata/2004/0061/   |   OPENPKG:OpenPKG-SA-2005.002   |   URL:http://marc.info/?l=bugtraq&m=110598298225675&w=2   |   UBUNTU:USN-28-1   |   URL:https://www.ubuntu.com/usn/usn-28-1/   |   BID:11668   |   URL:http://www.securityfocus.com/bid/11668   |   XF:sudo-bash-command-execution(18055)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/18055,Assigned (20041117),None (candidate not yet proposed),
7,"The search_binary_handler function in exec.c in Linux 2.4 kernel on 64-bit x86 architectures does not check a return code for a particular function call when virtual memory is low, which allows local users to cause a denial of service (panic), as demonstrated by running a process using the bash ulimit -v command.",CONFIRM:https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=161925   |   FEDORA:FLSA:157459-1   |   URL:http://www.securityfocus.com/archive/1/archive/1/428028/100/0/threaded   |   FEDORA:FLSA:157459-2   |   URL:http://www.securityfocus.com/archive/1/archive/1/428058/100/0/threaded   |   REDHAT:RHSA-2006:0140   |   URL:http://www.redhat.com/support/errata/RHSA-2006-0140.html   |   REDHAT:RHSA-2006:0190   |   URL:http://www.redhat.com/support/errata/RHSA-2006-0190.html   |   BID:16320   |   URL:http://www.securityfocus.com/bid/16320   |   OVAL:oval:org.mitre.oval:def:10649   |   URL:http://oval.mitre.org/repository/data/getDef?id=oval:org.mitre.oval:def:10649   |   SECUNIA:18523   |   URL:http://secunia.com/advisories/18523   |   SECUNIA:18562   |   URL:http://secunia.com/advisories/18562   |   SECUNIA:18684   |   URL:http://secunia.com/advisories/18684,Assigned (20050826),None (candidate not yet proposed),
8,"Incomplete blacklist vulnerability in sudo 1.6.8 and earlier allows local users to gain privileges via the (1) SHELLOPTS and (2) PS4 environment variables before executing a bash script on behalf of another user, which are not cleared even though other variables are.",CONFIRM:http://www.sudo.ws/bugs/show_bug.cgi?id=182   |   CONFIRM:http://docs.info.apple.com/article.html?artnum=305214   |   APPLE:APPLE-SA-2007-03-13   |   URL:http://lists.apple.com/archives/security-announce/2007/Mar/msg00002.html   |   DEBIAN:DSA-870   |   URL:http://www.debian.org/security/2005/dsa-870   |   MANDRIVA:MDKSA-2005:201   |   URL:http://www.mandriva.com/security/advisories?name=MDKSA-2005:201   |   OPENPKG:OpenPKG-SA-2006.002   |   URL:http://www.openpkg.org/security/OpenPKG-SA-2006.002-sudo.html   |   SUSE:SUSE-SR:2005:025   |   URL:http://www.securityfocus.com/advisories/9643   |   SUSE:SUSE-SR:2006:002   |   URL:http://www.novell.com/linux/security/advisories/2006_02_sr.html   |   UBUNTU:USN-213-1   |   URL:http://www.ubuntulinux.org/support/documentation/usn/usn-213-1   |   CERT:TA07-072A   |   URL:http://www.us-cert.gov/cas/techalerts/TA07-072A.html   |   BID:15191   |   URL:http://www.securityfocus.com/bid/15191   |   VUPEN:ADV-2007-0930   |   URL:http://www.vupen.com/english/advisories/2007/0930   |   SECUNIA:17390   |   URL:http://secunia.com/advisories/17390   |   SECUNIA:17318   |   URL:http://secunia.com/advisories/17318   |   SECUNIA:17322   |   URL:http://secunia.com/advisories/17322   |   SECUNIA:17345   |   URL:http://secunia.com/advisories/17345   |   SECUNIA:17666   |   URL:http://secunia.com/advisories/17666   |   SECUNIA:18549   |   URL:http://secunia.com/advisories/18549   |   SECUNIA:24479   |   URL:http://secunia.com/advisories/24479,Assigned (20050919),None (candidate not yet proposed),
9,"Firefox 1.0.6 and Mozilla 1.7.10 allows attackers to execute arbitrary commands via shell metacharacters in a URL that is provided to the browser on the command line, which is sent unfiltered to bash.",CONFIRM:http://www.mozilla.org/security/announce/mfsa2005-58.html   |   CONFIRM:https://bugzilla.mozilla.org/show_bug.cgi?id=307185   |   DEBIAN:DSA-868   |   URL:http://www.debian.org/security/2005/dsa-868   |   DEBIAN:DSA-866   |   URL:http://www.debian.org/security/2005/dsa-866   |   MANDRIVA:MDKSA-2005:174   |   URL:http://www.mandriva.com/security/advisories?name=MDKSA-2005:174   |   REDHAT:RHSA-2005:785   |   URL:http://www.redhat.com/support/errata/RHSA-2005-785.html   |   REDHAT:RHSA-2005:791   |   URL:http://www.redhat.com/support/errata/RHSA-2005-791.html   |   SCO:SCOSA-2005.49   |   URL:ftp://ftp.sco.com/pub/updates/OpenServer/SCOSA-2005.49/SCOSA-2005.49.txt   |   UBUNTU:USN-186-1   |   URL:http://www.ubuntu.com/usn/usn-186-1   |   UBUNTU:USN-186-2   |   URL:http://www.ubuntu.com/usn/usn-186-2   |   UBUNTU:USN-200-1   |   URL:http://www.ubuntu.com/usn/usn-200-1   |   CERT-VN:VU#914681   |   URL:http://www.kb.cert.org/vuls/id/914681   |   BID:15495   |   URL:http://www.securityfocus.com/bid/15495   |   BID:14888   |   URL:http://www.securityfocus.com/bid/14888   |   OVAL:oval:org.mitre.oval:def:11105   |   URL:http://oval.mitre.org/repository/data/getDef?id=oval:org.mitre.oval:def:11105   |   VUPEN:ADV-2005-1794   |   URL:http://www.vupen.com/english/advisories/2005/1794   |   VUPEN:ADV-2005-1824   |   URL:http://www.vupen.com/english/advisories/2005/1824   |   SECUNIA:16869   |   URL:http://secunia.com/advisories/16869   |   SECUNIA:17042   |   URL:http://secunia.com/advisories/17042   |   SECUNIA:17090   |   URL:http://secunia.com/advisories/17090   |   SECUNIA:17149   |   URL:http://secunia.com/advisories/17149   |   SECUNIA:17284   |   URL:http://secunia.com/advisories/17284   |   SECUNIA:17263   |   URL:http://secunia.com/advisories/17263,Assigned (20050919),None (candidate not yet proposed),
10,"The ""Open 'safe' files after downloading"" option in Safari on Apple Mac OS X allows remote user-assisted attackers to execute arbitrary commands by tricking a user into downloading a __MACOSX folder that contains metadata (resource fork) that invokes the Terminal, which automatically interprets the script using bash, as demonstrated using a ZIP file that contains a script with a safe file extension.",MISC:http://www.mathematik.uni-ulm.de/numerik/staff/lehn/macosx.html   |   MISC:http://www.heise.de/english/newsticker/news/69862   |   CONFIRM:http://docs.info.apple.com/article.html?artnum=303382   |   CERT:TA06-053A   |   URL:http://www.us-cert.gov/cas/techalerts/TA06-053A.html   |   CERT:TA06-062A   |   URL:http://www.us-cert.gov/cas/techalerts/TA06-062A.html   |   CERT-VN:VU#999708   |   URL:http://www.kb.cert.org/vuls/id/999708   |   MISC:http://www.frsirt.com/exploits/20060222.safari_safefiles_exec.pm.php   |   BID:16736   |   URL:http://www.securityfocus.com/bid/16736   |   VUPEN:ADV-2006-0671   |   URL:http://www.vupen.com/english/advisories/2006/0671   |   OSVDB:23510   |   URL:http://www.osvdb.org/23510   |   SECTRACK:1015652   |   URL:http://securitytracker.com/id?1015652   |   SECUNIA:18963   |   URL:http://secunia.com/advisories/18963   |   XF:macosx-zip-command-execution(24808)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/24808,Assigned (20060222),None (candidate not yet proposed),
