Number,Description,References,Phase,Votes,Comments
1,"The lit program in Sun Flex License Manager (FlexLM) follows symlinks, which allows local users to modify arbitrary files.",BUGTRAQ:20000221 flex license manager tempfile predictable name...   |   BID:998   |   URL:http://www.securityfocus.com/bid/998,,,
2,Heap-based buffer overflow in bogofilter and bogolexer 0.96.2 allows remote attackers to cause a denial of service (crash) and possibly execute arbitrary code via words that are longer than the input buffer used by flex.,CONFIRM:http://bogofilter.sourceforge.net/security/bogofilter-SA-2005-02   |   SUSE:SUSE-SR:2006:003   |   URL:http://lists.suse.com/archive/suse-security-announce/2006-Feb/0001.html   |   BID:16171   |   URL:http://www.securityfocus.com/bid/16171   |   VUPEN:ADV-2006-0100   |   URL:http://www.vupen.com/english/advisories/2006/0100   |   SECUNIA:18352   |   URL:http://secunia.com/advisories/18352   |   SECUNIA:18717   |   URL:http://secunia.com/advisories/18717   |   XF:bogofilter-long-word-bo(24119)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/24119,Assigned (20060101),None (candidate not yet proposed),
3,"flex.skl in Will Estes and John Millaway Fast Lexical Analyzer Generator (flex) before 2.5.33 does not allocate enough memory for grammars containing (1) REJECT statements or (2) trailing context rules, which causes flex to generate code that contains a buffer overflow that might allow context-dependent attackers to execute arbitrary code.",MLIST:[flex-announce] 20060222 flex 2.5.33 released   |   URL:http://sourceforge.net/mailarchive/forum.php?thread_name=20060223020346.GA11231%40tabitha.home.tldz.org&forum_name=flex-announce   |   CONFIRM:http://prdownloads.sourceforge.net/flex/flex-2.5.33.tar.bz2?download   |   DEBIAN:DSA-1020   |   URL:http://www.us.debian.org/security/2006/dsa-1020   |   GENTOO:GLSA-200603-07   |   URL:http://www.gentoo.org/security/en/glsa/glsa-200603-07.xml   |   UBUNTU:USN-260-1   |   URL:http://www.ubuntulinux.org/support/documentation/usn/usn-260-1   |   BID:16896   |   URL:http://www.securityfocus.com/bid/16896   |   VUPEN:ADV-2006-0770   |   URL:http://www.vupen.com/english/advisories/2006/0770   |   OSVDB:23440   |   URL:http://www.osvdb.org/23440   |   SECUNIA:19071   |   URL:http://secunia.com/advisories/19071   |   SECUNIA:19424   |   URL:http://secunia.com/advisories/19424   |   SECUNIA:19126   |   URL:http://secunia.com/advisories/19126   |   SECUNIA:19228   |   URL:http://secunia.com/advisories/19228   |   SREASON:570   |   URL:http://securityreason.com/securityalert/570   |   XF:flex-bypass-security(24995)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/24995,Assigned (20060127),None (candidate not yet proposed),
4,"Buffer overflow in Adobe Flash Player 8.0.24.0 and earlier, Flash Professional 8, Flash MX 2004, and Flex 1.5 allows user-assisted remote attackers to execute arbitrary code via a long, dynamically created string in a SWF movie.",BUGTRAQ:20060912 Computer Terrorism (UK) :: Incident Response Centre - Adobe/Macromedia Flash Player Vulnerability   |   URL:http://www.securityfocus.com/archive/1/archive/1/445825/100/0/threaded   |   MISC:http://www.computerterrorism.com/research/ct12-09-2006.htm   |   CONFIRM:http://www.adobe.com/support/security/bulletins/apsb06-11.html   |   APPLE:APPLE-SA-2006-09-29   |   URL:http://lists.apple.com/archives/security-announce/2006/Sep/msg00002.html   |   GENTOO:GLSA-200610-02   |   URL:http://security.gentoo.org/glsa/glsa-200610-02.xml   |   MS:MS06-069   |   URL:http://www.microsoft.com/technet/security/bulletin/ms06-069.mspx   |   REDHAT:RHSA-2006:0674   |   URL:http://www.redhat.com/support/errata/RHSA-2006-0674.html   |   SUSE:SUSE-SA:2006:053   |   URL:http://www.novell.com/linux/security/advisories/2006_53_flashplayer.html   |   CERT:TA06-275A   |   URL:http://www.us-cert.gov/cas/techalerts/TA06-275A.html   |   CERT:TA06-318A   |   URL:http://www.us-cert.gov/cas/techalerts/TA06-318A.html   |   CERT-VN:VU#451380   |   URL:http://www.kb.cert.org/vuls/id/451380   |   BID:19980   |   URL:http://www.securityfocus.com/bid/19980   |   VUPEN:ADV-2006-3577   |   URL:http://www.vupen.com/english/advisories/2006/3577   |   VUPEN:ADV-2006-3573   |   URL:http://www.vupen.com/english/advisories/2006/3573   |   VUPEN:ADV-2006-3852   |   URL:http://www.vupen.com/english/advisories/2006/3852   |   VUPEN:ADV-2006-4507   |   URL:http://www.vupen.com/english/advisories/2006/4507   |   OVAL:oval:org.mitre.oval:def:394   |   URL:http://oval.mitre.org/repository/data/getDef?id=oval:org.mitre.oval:def:394   |   SECTRACK:1016829   |   URL:http://securitytracker.com/id?1016829   |   SECUNIA:21865   |   URL:http://secunia.com/advisories/21865   |   SECUNIA:21901   |   URL:http://secunia.com/advisories/21901   |   SECUNIA:22054   |   URL:http://secunia.com/advisories/22054   |   SECUNIA:22187   |   URL:http://secunia.com/advisories/22187   |   SECUNIA:22882   |   URL:http://secunia.com/advisories/22882   |   SECUNIA:22268   |   URL:http://secunia.com/advisories/22268   |   SREASON:1546   |   URL:http://securityreason.com/securityalert/1546   |   XF:flashplayer-swf-string-bo(28886)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/28886,Assigned (20060629),None (candidate not yet proposed),
5,"Adobe ColdFusion 8 and 8.0.1 does not properly implement the public access level for CFC methods, which allows remote attackers to invoke these methods via Flex 2 remoting, a different vulnerability than CVE-2006-4725.",CONFIRM:http://www.adobe.com/support/security/bulletins/apsb08-12.html   |   BID:28698   |   URL:http://www.securityfocus.com/bid/28698   |   VUPEN:ADV-2008-1157   |   URL:http://www.vupen.com/english/advisories/2008/1157   |   OSVDB:44280   |   URL:http://www.osvdb.org/44280   |   SECTRACK:1019806   |   URL:http://securitytracker.com/id?1019806   |   SECUNIA:29748   |   URL:http://secunia.com/advisories/29748   |   XF:adobe-coldfusion-cfc-security-bypass(41720)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/41720,Assigned (20080402),None (candidate not yet proposed),
6,"Multiple cross-site scripting (XSS) vulnerabilities in the Flex 3 History Management feature in Adobe Flex 3.0.1 SDK and Flex Builder 3, and generated applications, allow remote attackers to inject arbitrary web script or HTML via the anchor identifier to (1) client-side-detection-with-history/history/historyFrame.html, (2) express-installation-with-history/history/historyFrame.html, or (3) no-player-detection-with-history/history/historyFrame.html in templates/html-templates/.  NOTE: Firefox 2.0 and possibly other browsers prevent exploitation.",MISC:http://blog.watchfire.com/wfblog/2008/06/javascript-code.html   |   CONFIRM:http://www.adobe.com/support/security/bulletins/apsb08-14.html   |   BID:29778   |   URL:http://www.securityfocus.com/bid/29778   |   VUPEN:ADV-2008-1862   |   URL:http://www.vupen.com/english/advisories/2008/1862   |   SECTRACK:1020301   |   URL:http://securitytracker.com/id?1020301   |   SECUNIA:30746   |   URL:http://secunia.com/advisories/30746   |   XF:adobeflex-historymanagement-xss(43150)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/43150,Assigned (20080609),None (candidate not yet proposed),
7,"Cross-site scripting (XSS) vulnerability in index.template.html in the express-install templates in the SDK in Adobe Flex before 3.4, when the installed Flash version is older than a specified requiredMajorVersion value, allows remote attackers to inject arbitrary web script or HTML via the query string.",BUGTRAQ:20090819 Adobe Flex 3.3 SDK DOM-Based XSS   |   URL:http://www.securityfocus.com/archive/1/archive/1/505948/100/0/threaded   |   MISC:http://www.gdssecurity.com/l/b/2009/08/20/adobe-flex-3-3-sdk-dom-based-xss/   |   CONFIRM:http://www.adobe.com/support/security/bulletins/apsb09-13.html   |   SECTRACK:1022748   |   URL:http://securitytracker.com/id?1022748   |   SECUNIA:36374   |   URL:http://secunia.com/advisories/36374   |   XF:flex-indextemplate-xss(52608)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/52608,Assigned (20090601),None (candidate not yet proposed),
8,"Unspecified vulnerability in BlazeDS 3.2 and earlier, as used in LiveCycle 8.0.1, 8.2.1, and 9.0, LiveCycle Data Services 2.5.1, 2.6.1, and 3.0, Flex Data Services 2.0.1, and ColdFusion 7.0.2, 8.0, 8.0.1, and 9.0, allows remote attackers to obtain sensitive information via vectors that are associated with a request, and related to injected tags and external entity references in XML documents.",EXPLOIT-DB:41855   |   URL:https://www.exploit-db.com/exploits/41855/   |   CONFIRM:http://www.adobe.com/support/security/bulletins/apsb10-05.html   |   BID:38197   |   URL:http://www.securityfocus.com/bid/38197   |   OSVDB:62292   |   URL:http://www.osvdb.org/62292   |   SECTRACK:1023584   |   URL:http://securitytracker.com/id?1023584   |   SECUNIA:38543   |   URL:http://secunia.com/advisories/38543,Assigned (20091116),None (candidate not yet proposed),
9,Unspecified vulnerability in Fast Lexical Analyzer Generator (flex) before 2.5.35 has unknown impact and attack vectors.,CONFIRM:http://freshmeat.net/projects/flex/releases/311661   |   OSVDB:62029   |   URL:http://osvdb.org/62029,Assigned (20100212),None (candidate not yet proposed),
10,Multiple SQL injection vulnerabilities in the log-in form in Truworth Flex Timesheet allow remote attackers to execute arbitrary SQL commands via the (1) Username and (2) Password fields.,EXPLOIT-DB:15220   |   URL:http://www.exploit-db.com/exploits/15220   |   MISC:http://packetstormsecurity.org/1010-exploits/flextimesheet-sql.txt   |   BID:43886   |   URL:http://www.securityfocus.com/bid/43886   |   SECUNIA:41763   |   URL:http://secunia.com/advisories/41763   |   SREASON:8222   |   URL:http://securityreason.com/securityalert/8222   |   XF:flex-timesheet-username-sql-injection(62374)   |   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/62374,Assigned (20110426),None (candidate not yet proposed),
